ticker,event_date,event_label,beta,car,t_stat,n_event_days
NVDA,2023-10-17,"BIS tightens 2022 rules, closes loopholes",2.1790669613917872,-0.04183006506629368,-0.4664846780176889,11
AMD,2023-10-17,"BIS tightens 2022 rules, closes loopholes",1.973243585733256,-0.025376876841455752,-0.3065281469231273,11
ASML,2024-01-01,Netherlands (ASML) revokes some China export licences,1.5807344747324559,-0.05516551158563678,-1.1069085742077436,11
TSM,2024-01-01,Netherlands (ASML) revokes some China export licences,1.2876243838169876,-0.014675648552316713,-0.2623993287142693,11
NVDA,2024-12-02,BIS adds new restrictions on chipmaking equipment/HBM,2.896797786490631,-0.12703693375498315,-1.5016289483156198,11
ASML,2024-12-02,BIS adds new restrictions on chipmaking equipment/HBM,2.5203102051991775,0.0325801446870145,0.4441330431145572,11
